,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team Name
18,BCJ Cutting,2022-2022,9,9,2,197,52*,28.14,120,164.16,0,1,1,13,13,Peshawar Zalmi
19,LA Dawson,2018-2020,24,19,3,363,62,22.68,289,125.6,0,2,2,18,16,Peshawar Zalmi
20,F du Plessis,2020-2020,1,1,0,31,31,31,25,124,0,0,0,1,1,Peshawar Zalmi
21,ADS Fletcher,2018-2019,9,9,0,158,34,17.55,138,114.49,0,0,0,14,8,Peshawar Zalmi
22,L Gregory,2020-2020,4,4,1,68,25,22.66,42,161.9,0,0,0,2,5,Peshawar Zalmi
23,Haider Ali,2020-2022,28,28,4,557,69,23.2,404,137.87,0,2,3,51,27,Peshawar Zalmi
24,Hammad Azam,2018-2020,3,3,1,10,7,5,9,111.11,0,0,1,1,0,Peshawar Zalmi
25,Haris Sohail,2017-2018,6,6,1,50,14,10,70,71.42,0,0,0,1,1,Peshawar Zalmi
26,Hasan Ali,2016-2020,45,21,7,94,15,6.71,68,138.23,0,0,1,10,3,Peshawar Zalmi
27,Haseebullah Khan,2023-2023,7,6,1,99,50,19.8,67,147.76,0,1,0,10,5,Peshawar Zalmi
28,Hazratullah Zazai,2021-2022,12,12,0,382,77,31.83,250,152.8,0,4,2,45,18,Peshawar Zalmi
29,BJ Hodge,2016-2016,4,4,2,93,85*,46.5,61,152.45,0,1,1,6,6,Peshawar Zalmi
30,BAC Howell,2022-2022,1,1,1,2,2*,-,1,200,0,0,0,0,0,Peshawar Zalmi
31,Hussain Talat,2022-2022,9,8,2,177,52,29.5,141,125.53,0,2,0,17,3,Peshawar Zalmi
32,Ibtisam Sheikh,2018-2019,8,2,1,2,2,2,6,33.33,0,0,0,0,0,Peshawar Zalmi
33,Iftikhar Ahmed,2017-2017,3,3,0,15,14,5,25,60,0,0,1,1,0,Peshawar Zalmi
34,Imam-ul-Haq,2019-2021,22,22,0,542,59,24.63,436,124.31,0,5,2,50,13,Peshawar Zalmi
35,Imran Khan,2016-2017,2,1,1,0,0*,-,0,-,0,0,0,0,0,Peshawar Zalmi
36,CJ Jordan,2017-2019,13,10,7,64,36,21.33,64,100,0,0,1,3,4,Peshawar Zalmi
37,Junaid Khan,2016-2017,9,5,5,3,1*,-,7,42.85,0,0,0,0,0,Peshawar Zalmi
38,Kamran Akmal,2016-2022,75,74,2,1972,107*,27.38,1440,136.94,3,12,8,213,89,Peshawar Zalmi
39,Khalid Usman,2018-2022,5,3,2,43,19*,43,34,126.47,0,0,0,3,1,Peshawar Zalmi
40,Khurram Shahzad,2023-2023,3,2,1,13,11*,13,19,68.42,0,0,0,1,0,Peshawar Zalmi
41,Khushdil Shah,2017-2018,4,3,0,13,8,4.33,23,56.52,0,0,0,1,0,Peshawar Zalmi
42,T Kohler-Cadmore,2021-2023,18,18,2,460,92,28.75,315,146.03,0,4,2,39,26,Peshawar Zalmi
43,LS Livingstone,2020-2022,12,11,2,147,54*,16.33,107,137.38,0,1,2,11,7,Peshawar Zalmi
44,WL Madsen,2019-2019,2,2,0,5,5,2.5,19,26.31,0,0,1,0,0,Peshawar Zalmi
45,S Mahmood,2020-2022,8,4,3,13,11*,13,15,86.66,0,0,1,0,1,Peshawar Zalmi
46,DJ Malan,2016-2019,16,16,2,377,60*,26.92,336,112.2,0,2,0,37,11,Peshawar Zalmi
47,DA Miller,2021-2021,3,3,0,116,73,38.66,83,139.75,0,1,0,10,5,Peshawar Zalmi
48,TS Mills,2019-2019,5,-,-,-,-,-,-,-,-,-,-,-,-,Peshawar Zalmi
49,Misbah-ul-Haq,2019-2019,3,3,2,126,59*,126,104,121.15,0,1,0,9,5,Peshawar Zalmi
50,Mohammad Amir Khan,2020-2020,4,1,1,7,7*,-,9,77.77,0,0,0,1,0,Peshawar Zalmi
51,Mohammad Asghar,2016-2018,21,3,2,1,1*,1,5,20,0,0,1,0,0,Peshawar Zalmi
52,Mohammad Hafeez,2016-2018,33,31,1,671,77,22.36,591,113.53,0,4,3,68,25,Peshawar Zalmi
53,Mohammad Haris,2022-2023,17,16,0,516,85,32.25,277,186.28,0,3,2,53,27,Peshawar Zalmi
54,Mohammad Imran,2020-2020,1,1,0,8,8,8,4,200,0,0,0,0,1,Peshawar Zalmi
55,Mohammad Imran,2021-2021,11,2,1,1,1*,1,3,33.33,0,0,1,0,0,Peshawar Zalmi
56,Mohammad Irfan,2021-2021,10,1,1,0,0*,-,5,0,0,0,0,0,0,Peshawar Zalmi
57,Mohammad Mohsin,2020-2020,2,1,0,0,0,0,6,0,0,0,1,0,0,Peshawar Zalmi
58,Mohammad Umar,2022-2022,6,2,0,3,3,1.5,10,30,0,0,1,0,0,Peshawar Zalmi
59,EJG Morgan,2017-2017,6,6,1,136,80*,27.2,131,103.81,0,1,0,14,4,Peshawar Zalmi
60,Mujeeb Ur Rahman,2021-2023,11,3,2,3,2,3,3,100,0,0,0,0,0,Peshawar Zalmi
61,Nabi Gul,2019-2019,2,1,0,9,9,9,12,75,0,0,0,0,0,Peshawar Zalmi
62,JDS Neesham,2023-2023,7,7,1,87,38,14.5,66,131.81,0,0,0,6,4,Peshawar Zalmi
63,KA Pollard,2019-2019,13,13,3,284,52*,28.4,164,173.17,0,2,1,19,23,Peshawar Zalmi
64,R Powell,2021-2023,16,15,4,276,64,25.09,175,157.71,0,1,2,21,18,Peshawar Zalmi
65,Rahat Ali,2020-2020,10,1,0,1,1,1,6,16.66,0,0,0,0,0,Peshawar Zalmi
66,PBB Rajapaksa,2023-2023,5,5,1,97,41,24.25,66,146.96,0,0,0,11,3,Peshawar Zalmi
67,SE Rutherford,2021-2022,22,21,6,436,70*,29.06,293,148.8,0,2,1,32,29,Peshawar Zalmi
68,Saad Masood,2023-2023,1,1,0,16,16,16,8,200,0,0,0,3,0,Peshawar Zalmi
69,Saad Nasim,2018-2018,5,5,1,65,35,16.25,47,138.29,0,0,0,7,3,Peshawar Zalmi
70,Sabbir Rahman,2018-2018,2,1,0,11,11,11,11,100,0,0,0,1,0,Peshawar Zalmi
71,Saim Ayub,2023-2023,12,12,0,341,74,28.41,206,165.53,0,5,2,36,17,Peshawar Zalmi
72,Salman Irshad,2022-2023,14,4,2,3,2,1.5,13,23.07,0,0,1,0,0,Peshawar Zalmi
73,Sameen Gul,2018-2022,19,4,4,10,7*,-,17,58.82,0,0,0,1,0,Peshawar Zalmi
74,DJG Sammy,2016-2020,49,39,12,691,48,25.59,472,146.39,0,0,2,48,44,Peshawar Zalmi
75,MN Samuels,2017-2017,5,5,1,81,37*,20.25,67,120.89,0,0,0,5,3,Peshawar Zalmi
76,Shahid Afridi,2016-2017,20,15,2,264,54,20.3,157,168.15,0,1,2,14,21,Peshawar Zalmi
77,Shahid Yousuf,2016-2016,9,6,1,99,27*,19.8,97,102.06,0,0,0,9,1,Peshawar Zalmi
78,MD Shanaka,2023-2023,2,2,1,27,16*,27,26,103.84,0,0,0,2,0,Peshawar Zalmi
79,Shakib Al Hasan,2017-2023,6,5,1,55,30,13.75,49,112.24,0,0,0,5,1,Peshawar Zalmi
80,Shoaib Malik,2020-2022,33,32,5,1033,73,38.25,731,141.31,0,8,2,87,39,Peshawar Zalmi
81,DR Smith,2018-2018,10,9,1,252,71*,31.5,199,126.63,0,1,0,20,16,Peshawar Zalmi
82,Sohaib Maqsood,2017-2020,12,11,2,120,30*,13.33,126,95.23,0,0,3,10,5,Peshawar Zalmi
83,Sohail Khan,2022-2022,2,-,-,-,-,-,-,-,-,-,-,-,-,Peshawar Zalmi
84,Sufiyan Muqeem,2023-2023,5,2,2,10,6*,-,12,83.33,0,0,0,0,0,Peshawar Zalmi
85,SW Tait,2016-2016,9,2,2,0,0*,-,0,-,0,0,0,0,0,Peshawar Zalmi
86,Tamim Iqbal,2016-2018,17,17,4,522,80*,40.15,467,111.77,0,4,0,50,12,Peshawar Zalmi
87,Umaid Asif,2018-2021,29,10,5,86,25,17.2,52,165.38,0,0,2,5,7,Peshawar Zalmi
88,Umar Amin,2019-2020,12,9,3,218,61*,36.33,186,117.2,0,2,1,26,3,Peshawar Zalmi
89,Usman Qadir,2022-2023,10,5,3,32,12,16,20,160,0,0,0,2,2,Peshawar Zalmi
90,GC Viljoen,2020-2020,1,1,0,37,37,37,16,231.25,0,0,0,3,3,Peshawar Zalmi
91,Wahab Riaz,2016-2023,88,54,21,359,33*,10.87,280,128.21,0,0,10,31,14,Peshawar Zalmi
92,Waqar Salamkheil,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,Peshawar Zalmi
93,JW Wells,2021-2021,2,2,1,61,55*,61,56,108.92,0,1,0,6,3,Peshawar Zalmi
94,MH Wessels,2018-2018,4,4,1,68,31*,22.66,62,109.67,0,0,0,8,1,Peshawar Zalmi
95,Yasir Khan,2022-2022,4,4,0,87,35,21.75,57,152.63,0,0,0,11,4,Peshawar Zalmi
96,Yasir Shah,2020-2020,4,1,1,1,1*,-,1,100,0,0,0,0,0,Peshawar Zalmi
0,Abdul Bangalzai,2022-2023,5,4,0,15,14,3.75,23,65.21,0,0,2,0,1,Quetta Gladiators
1,Abdul Nasir,2020-2021,2,2,1,1,1*,1,4,25,0,0,1,0,0,Quetta Gladiators
2,Ahmed Shehzad,2016-2020,35,34,2,904,99,28.25,694,130.25,0,9,3,93,29,Quetta Gladiators
3,Ahsan Ali,2019-2022,19,18,1,444,73,26.11,335,132.53,0,3,0,49,13,Quetta Gladiators
4,Aimal Khan,2023-2023,4,1,1,0,0*,-,2,0,0,0,0,0,0,Quetta Gladiators
5,Aizaz Cheema,2016-2016,4,1,1,0,0*,-,0,-,0,0,0,0,0,Quetta Gladiators
6,Akbar-ur-Rehman,2016-2016,7,3,0,15,11,5,19,78.94,0,0,0,1,0,Quetta Gladiators
7,Anamul Haque,2017-2017,1,1,0,3,3,3,9,33.33,0,0,0,0,0,Quetta Gladiators
8,Anwar Ali,2016-2021,36,26,9,222,28*,13.05,161,137.88,0,0,0,13,13,Quetta Gladiators
9,JC Archer,2018-2018,2,1,0,5,5,5,4,125,0,0,0,1,0,Quetta Gladiators
10,Arish Ali,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,Quetta Gladiators
11,Asad Shafiq,2016-2018,16,15,1,279,51,19.92,266,104.88,0,1,1,31,5,Quetta Gladiators
12,Ashir Qureshi,2022-2022,4,1,0,0,0,0,1,0,0,0,1,0,0,Quetta Gladiators
13,Azam Khan,2019-2021,20,20,1,336,59,17.68,260,129.23,0,1,3,33,13,Quetta Gladiators
14,T Banton,2021-2021,2,2,0,9,5,4.5,11,81.81,0,0,0,1,0,Quetta Gladiators
15,Bismillah Khan,2016-2016,3,3,0,55,55,18.33,35,157.14,0,1,2,10,1,Quetta Gladiators
16,DJ Bravo,2019-2019,6,4,2,23,12*,11.5,29,79.31,0,0,1,3,0,Quetta Gladiators
17,E Chigumbura,2016-2016,5,3,1,10,7*,5,13,76.92,0,0,1,1,0,Quetta Gladiators
18,BCJ Cutting,2020-2021,12,12,2,195,53,19.5,122,159.83,0,1,3,13,14,Quetta Gladiators
19,Danish Aziz,2019-2019,1,1,0,1,1,1,7,14.28,0,0,0,0,0,Quetta Gladiators
20,CS Delport,2021-2021,5,5,0,13,10,2.6,22,59.09,0,0,2,1,0,Quetta Gladiators
21,BM Duckett,2022-2022,4,4,0,60,47,15,50,120,0,0,1,8,1,Quetta Gladiators
22,F du Plessis,2021-2021,5,4,0,76,37,19,62,122.58,0,0,0,8,1,Quetta Gladiators
23,GD Elliott,2016-2016,6,5,1,65,40,16.25,55,118.18,0,0,0,3,4,Quetta Gladiators
24,RR Emrit,2017-2017,1,1,1,6,6*,-,9,66.66,0,0,0,0,0,Quetta Gladiators
25,SM Ervine,2017-2017,1,1,0,24,24,24,19,126.31,0,0,0,2,0,Quetta Gladiators
26,JP Faulkner,2022-2022,6,3,2,49,30*,49,27,181.48,0,0,0,3,3,Quetta Gladiators
27,Fawad Ahmed,2019-2020,17,4,0,18,14,4.5,28,64.28,0,0,2,3,0,Quetta Gladiators
28,CH Gayle,2021-2021,2,2,0,107,68,53.5,64,167.18,0,1,0,9,7,Quetta Gladiators
29,Ghulam Mudassar,2019-2022,10,1,0,0,0,0,2,0,0,0,1,0,0,Quetta Gladiators
30,MJ Guptill,2023-2023,9,9,1,310,117,38.75,206,150.48,1,1,1,31,14,Quetta Gladiators
31,HF Gurney,2019-2019,1,1,1,0,0*,-,0,-,0,0,0,0,0,Quetta Gladiators
32,Hassan Khan,2017-2022,26,15,7,124,24,15.5,109,113.76,0,0,3,6,3,Quetta Gladiators
33,JW Hastings,2018-2018,3,2,1,5,5*,5,8,62.5,0,0,1,1,0,Quetta Gladiators
34,Iftikhar Ahmed,2022-2023,20,18,2,327,53,20.43,258,126.74,0,3,1,17,17,Quetta Gladiators
35,Khurram Manzoor,2020-2020,1,1,0,63,63,63,40,157.5,0,1,0,9,1,Quetta Gladiators
36,Khurram Shahzad,2021-2022,7,4,1,12,11,4,29,41.37,0,0,1,0,0,Quetta Gladiators
37,T Kohler-Cadmore,2018-2018,1,1,0,5,5,5,5,100,0,0,0,1,0,Quetta Gladiators
38,B Laughlin,2018-2018,3,1,1,3,3*,-,2,150,0,0,0,0,0,Quetta Gladiators
39,NL McCullum,2016-2016,2,2,1,1,1,1,4,25,0,0,0,0,0,Quetta Gladiators
40,Mahmudullah,2017-2018,9,5,2,71,29*,23.66,59,120.33,0,0,1,6,2,Quetta Gladiators
41,TS Mills,2017-2020,9,3,2,5,4*,5,7,71.42,0,0,1,0,0,Quetta Gladiators
42,Mir Hamza,2017-2018,4,1,0,0,0,0,1,0,0,0,1,0,0,Quetta Gladiators
43,Mohammad Hafeez,2023-2023,7,6,1,135,48,27,90,150,0,0,0,13,7,Quetta Gladiators
44,Mohammad Hasnain,2019-2023,34,12,7,32,22,6.4,40,80,0,0,2,3,1,Quetta Gladiators
45,Mohammad Irfan,2022-2022,2,1,0,0,0,0,1,0,0,0,1,0,0,Quetta Gladiators
46,Mohammad Irfan,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-,Quetta Gladiators
47,Mohammad Nabi,2016-2016,8,4,1,47,30*,15.66,37,127.02,0,0,0,4,2,Quetta Gladiators
48,Mohammad Nawaz,2016-2023,76,58,16,728,52,17.33,643,113.21,0,1,3,61,26,Quetta Gladiators
49,Najibullah Zadran,2023-2023,2,2,0,60,59,30,37,162.16,0,1,0,5,3,Quetta Gladiators
50,Naseem Shah,2020-2023,29,8,2,17,7,2.83,27,62.96,0,0,2,1,1,Quetta Gladiators
51,Naveen-ul-Haq,2023-2023,4,1,1,17,17*,-,7,242.85,0,0,0,3,0,Quetta Gladiators
52,Noor Ahmad,2022-2022,4,3,1,21,13*,10.5,13,161.53,0,0,1,2,1,Quetta Gladiators
53,Omair Yousuf,2023-2023,2,2,0,75,67,37.5,42,178.57,0,1,0,8,3,Quetta Gladiators
54,NLTC Perera,2017-2018,7,5,1,52,27,13,45,115.55,0,0,0,3,2,Quetta Gladiators
55,KP Pietersen,2016-2018,27,25,2,611,88*,26.56,439,139.17,0,4,4,43,30,Quetta Gladiators
56,D Pretorius,2023-2023,2,1,1,10,10*,-,3,333.33,0,0,0,2,0,Quetta Gladiators
57,Qais Ahmad,2021-2023,6,4,2,44,17*,22,30,146.66,0,0,0,5,2,Quetta Gladiators
58,Rahat Ali,2018-2018,11,1,0,0,0,0,1,0,0,0,1,0,0,Quetta Gladiators
59,Rameez Raja,2018-2018,5,5,1,40,22,10,33,121.21,0,0,0,2,2,Quetta Gladiators
60,RR Rossouw,2017-2019,31,29,7,750,76*,34.09,585,128.2,0,3,0,64,26,Quetta Gladiators
61,JJ Roy,2018-2023,23,23,2,834,145*,39.71,567,147.08,2,4,3,97,30,Quetta Gladiators
62,AD Russell,2021-2021,1,1,0,13,13,13,6,216.66,0,0,0,0,2,Quetta Gladiators
63,Saad Nasim,2017-2017,3,3,0,18,9,6,16,112.5,0,0,0,2,0,Quetta Gladiators
64,Saim Ayub,2021-2021,7,7,0,114,35,16.28,105,108.57,0,0,0,14,3,Quetta Gladiators
65,KC Sangakkara,2016-2016,4,4,0,129,55,32.25,89,144.94,0,1,1,17,2,Quetta Gladiators
66,Sarfaraz Ahmed,2016-2023,80,68,20,1503,81,31.31,1214,123.8,0,7,2,134,26,Quetta Gladiators
67,Shahid Afridi,2022-2022,3,1,0,4,4,4,8,50,0,0,0,0,0,Quetta Gladiators
68,WCF Smeed,2022-2023,10,10,0,315,99,31.5,234,134.61,0,2,1,36,11,Quetta Gladiators
69,DR Smith,2019-2019,5,3,1,22,11*,11,27,81.48,0,0,0,2,0,Quetta Gladiators
70,OF Smith,2023-2023,6,6,3,50,25*,16.66,40,125,0,0,1,5,3,Quetta Gladiators
71,Sohail Khan,2020-2020,8,5,2,65,32,21.66,60,108.33,0,0,0,3,5,Quetta Gladiators
72,Sohail Tanvir,2019-2022,19,9,3,36,13,6,55,65.45,0,0,2,1,1,Quetta Gladiators
73,DW Steyn,2021-2021,3,2,2,0,0*,-,2,0,0,0,0,0,0,Quetta Gladiators
74,N Thushara,2023-2023,1,1,1,0,0*,-,3,0,0,0,0,0,0,Quetta Gladiators
75,Umaid Asif,2023-2023,3,2,1,11,11*,11,7,157.14,0,0,1,1,1,Quetta Gladiators
76,Umar Akmal,2019-2023,23,20,3,473,75*,27.82,311,152.09,0,3,1,30,34,Quetta Gladiators
77,Umar Amin,2018-2018,6,6,1,97,31,19.4,96,101.04,0,0,0,9,1,Quetta Gladiators
78,Umar Gul,2016-2017,8,3,0,2,2,0.66,6,33.33,0,0,2,0,0,Quetta Gladiators
79,Usman Khan,2021-2021,6,6,0,150,81,25,123,121.95,0,1,1,16,5,Quetta Gladiators
80,Usman Shinwari,2021-2021,5,2,0,7,7,3.5,10,70,0,0,1,1,0,Quetta Gladiators
81,MN van Wyk,2017-2017,1,1,0,1,1,1,7,14.28,0,0,0,0,0,Quetta Gladiators
82,JM Vince,2022-2022,6,6,1,107,49*,21.4,91,117.58,0,0,3,11,2,Quetta Gladiators
83,SR Watson,2018-2020,31,31,3,996,91*,35.57,692,143.93,0,8,2,94,60,Quetta Gladiators
84,J Weatherald,2021-2021,5,5,0,148,48,29.6,118,125.42,0,0,0,16,7,Quetta Gladiators
85,JD Wildermuth,2021-2021,2,2,1,17,9,17,18,94.44,0,0,0,1,0,Quetta Gladiators
86,L Wood,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-,Quetta Gladiators
87,LJ Wright,2016-2017,7,7,1,181,86*,30.16,141,128.36,0,1,0,20,7,Quetta Gladiators
88,Yasir Khan,2023-2023,2,2,0,19,14,9.5,26,73.07,0,0,0,2,0,Quetta Gladiators
89,Zahid Mahmood,2020-2021,7,5,2,24,19*,8,30,80,0,0,2,2,0,Quetta Gladiators
90,Zahir Khan,2021-2021,2,2,1,12,6*,12,8,150,0,0,0,2,0,Quetta Gladiators
91,Zahoor Khan,2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-,Quetta Gladiators
92,Zulfiqar Babar,2016-2017,18,6,3,23,20*,7.66,17,135.29,0,0,2,1,1,Quetta Gladiators
